type,category,name,symbol,unit,price,change,change_percent,weekly_percent,monthly_percent,ytd_percent,yoy_percent,date,url,scraped_at,market_cap
stock,Major,US500,US500,Index Points,7718.6,-29.1157,-0.38,0.0887,-0.0641,12.7543,19.0867,Sep/04,https://tradingeconomics.com/united-states/stock-market,2026-09-05T12:26:01.142654,
stock,Major,US30,US30,Index Points,53414.0,-271.8629,-0.51,-0.2721,-1.7201,11.1332,17.6503,Sep/04,https://tradingeconomics.com/indu:ind,2026-09-05T12:26:01.142775,
stock,Major,US100,US100,Index Points,29544.0,61.8351,0.21,0.3762,0.1911,17.0073,24.9095,Sep/04,https://tradingeconomics.com/us100:ind,2026-09-05T12:26:01.142864,
stock,Major,JP225,JP225,Index Points,65021.0,806.46,1.26,-2.0851,-1.9299,29.1649,51.1456,Sep/04,https://tradingeconomics.com/japan/stock-market,2026-09-05T12:26:01.142948,
stock,Major,GB100,GB100,Index Points,10832.0,0.2488,0.0,0.0694,-0.5192,9.0661,17.6317,Sep/04,https://tradingeconomics.com/united-kingdom/stock-market,2026-09-05T12:26:01.143027,
stock,Major,DE40,DE40,Index Points,26046.0,43.08,0.17,-1.9706,-0.3058,6.3535,10.3802,Sep/04,https://tradingeconomics.com/germany/stock-market,2026-09-05T12:26:01.143403,
stock,Major,FR40,FR40,Index Points,8279.0,-7.6263,-0.09,-1.4571,-4.5048,1.5862,7.8699,Sep/04,https://tradingeconomics.com/france/stock-market,2026-09-05T12:26:01.143556,
stock,Major,IT40,IT40,Index Points,52100.0,-145.0337,-0.28,-0.9801,-2.5191,15.9216,25.2179,Sep/04,https://tradingeconomics.com/italy/stock-market,2026-09-05T12:26:01.143706,
stock,Major,ES35,ES35,Index Points,20051.0,50.5,0.25,0.0439,-0.0314,15.8478,35.0134,Sep/04,https://tradingeconomics.com/spain/stock-market,2026-09-05T12:26:01.143795,
stock,Major,ASX200,ASX200,Index Points,9006.0,-14.1928,-0.16,-0.9501,-2.405,3.3461,1.518,Sep/04,https://tradingeconomics.com/australia/stock-market,2026-09-05T12:26:01.143874,
stock,Major,SHANGHAI,SHANGHAI,Index Points,3930.0,-11.9679,-0.3,-0.5581,1.3328,-0.9756,3.0847,Sep/04,https://tradingeconomics.com/china/stock-market,2026-09-05T12:26:01.143950,
stock,Major,SENSEX,SENSEX,Index Points,76515.0,362.5684,0.48,-0.9695,-2.6286,-10.2149,-5.198,Sep/04,https://tradingeconomics.com/india/stock-market,2026-09-05T12:26:01.144027,
stock,Major,TSX,TSX,Index Points,36514.0,-119.3211,-0.33,-0.1098,1.0164,15.1391,25.6902,Sep/04,https://tradingeconomics.com/canada/stock-market,2026-09-05T12:26:01.144104,
stock,Major,MOEX,MOEX,Index Points,2253.0,38.65,1.75,6.5477,-2.0959,-18.5501,-22.335,Sep/04,https://tradingeconomics.com/russia/stock-market,2026-09-05T12:26:01.144179,
stock,Major,IBOVESPA,IBOVESPA,Index Points,185147.0,-41.0,-0.02,5.398,4.1754,14.9087,29.8001,Sep/04,https://tradingeconomics.com/brazil/stock-market,2026-09-05T12:26:01.144252,
stock,Major,IPC,IPC,Index Points,64867.0,-569.5502,-0.87,-0.9433,-2.4931,0.9299,7.2534,Sep/04,https://tradingeconomics.com/mexico/stock-market,2026-09-05T12:26:01.144325,
stock,Major,NL30,NL30,Index Points,1114.0,8.8819,0.8,0.1097,0.1942,17.051,23.9041,Sep/04,https://tradingeconomics.com/netherlands/stock-market,2026-09-05T12:26:01.144400,
stock,Major,CH20,CH20,Index Points,14396.0,1.17,0.01,-0.0266,-1.0694,8.5055,16.3725,Sep/04,https://tradingeconomics.com/switzerland/stock-market,2026-09-05T12:26:01.144476,
stock,Major,SAALL,SAALL,Index Points,116726.0,37.9797,0.03,-1.2249,1.1351,0.7714,14.9642,Sep/04,https://tradingeconomics.com/south-africa/stock-market,2026-09-05T12:26:01.144559,
stock,Major,STI,STI,Index Points,5802.0,54.2511,0.94,1.7899,3.9523,24.8751,34.7074,Sep/04,https://tradingeconomics.com/singapore/stock-market,2026-09-05T12:26:01.144638,
stock,Major,HK50,HK50,Index Points,25651.0,437.56,1.74,0.2583,-1.0223,0.0793,0.9162,Sep/04,https://tradingeconomics.com/hong-kong/stock-market,2026-09-05T12:26:01.144712,
stock,Major,NZX 50,NZX 50,Index Points,13974.0,128.0,0.92,1.4962,-0.1643,3.1425,5.6766,Sep/04,https://tradingeconomics.com/new-zealand/stock-market,2026-09-05T12:26:01.144784,
stock,Major,EU50,EU50,Index Points,6401.0,21.75,0.34,-1.3055,-1.1731,10.5258,20.3614,Sep/04,https://tradingeconomics.com/euro-area/stock-market,2026-09-05T12:26:01.144859,
stock,Europe,GB100,GB100,Index Points,10832.0,0.2488,0.0,0.0694,-0.5192,9.0661,17.6317,Sep/04,https://tradingeconomics.com/united-kingdom/stock-market,2026-09-05T12:26:01.145471,
stock,Europe,DE40,DE40,Index Points,26046.0,43.08,0.17,-1.9706,-0.3058,6.3535,10.3802,Sep/04,https://tradingeconomics.com/germany/stock-market,2026-09-05T12:26:01.145545,
stock,Europe,FR40,FR40,Index Points,8279.0,-7.6263,-0.09,-1.4571,-4.5048,1.5862,7.8699,Sep/04,https://tradingeconomics.com/france/stock-market,2026-09-05T12:26:01.145632,
stock,Europe,IT40,IT40,Index Points,52100.0,-145.0337,-0.28,-0.9801,-2.5191,15.9216,25.2179,Sep/04,https://tradingeconomics.com/italy/stock-market,2026-09-05T12:26:01.145758,
stock,Europe,ES35,ES35,Index Points,20051.0,50.5,0.25,0.0439,-0.0314,15.8478,35.0134,Sep/04,https://tradingeconomics.com/spain/stock-market,2026-09-05T12:26:01.145858,
stock,Europe,MOEX,MOEX,Index Points,2253.0,38.65,1.75,6.5477,-2.0959,-18.5501,-22.335,Sep/04,https://tradingeconomics.com/russia/stock-market,2026-09-05T12:26:01.145941,
stock,Europe,NL30,NL30,Index Points,1114.0,8.8819,0.8,0.1097,0.1942,17.051,23.9041,Sep/04,https://tradingeconomics.com/netherlands/stock-market,2026-09-05T12:26:01.146019,
stock,Europe,BIST 100,BIST 100,Index Points,14012.0,79.96,0.57,-4.2969,2.2571,24.4274,30.5973,Sep/04,https://tradingeconomics.com/turkey/stock-market,2026-09-05T12:26:01.146096,
stock,Europe,CH20,CH20,Index Points,14396.0,1.17,0.01,-0.0266,-1.0694,8.5055,16.3725,Sep/04,https://tradingeconomics.com/switzerland/stock-market,2026-09-05T12:26:01.146174,
