type,category,name,symbol,unit,price,change,change_percent,weekly_percent,monthly_percent,ytd_percent,yoy_percent,date,url,scraped_at
stock,Major,US500,US500,Index Points,7728.76,5.21,0.07,3.91,3.0,12.9,21.9,Aug/06,https://tradingeconomics.com/united-states/stock-market,2026-08-06T12:18:04.597278
stock,Major,US30,US30,Index Points,54460.0,111.0,0.2,4.31,2.9,13.31,23.86,Aug/06,https://tradingeconomics.com/indu:ind,2026-08-06T12:18:04.597384
stock,Major,US100,US100,Index Points,29330.0,158.0,-0.54,4.35,0.54,16.16,25.4,Aug/06,https://tradingeconomics.com/us100:ind,2026-08-06T12:18:04.597457
stock,Major,JP225,JP225,Index Points,65534.0,766.0,-1.16,5.93,-3.99,30.18,59.61,Aug/06,https://tradingeconomics.com/japan/stock-market,2026-08-06T12:18:04.597526
stock,Major,GB100,GB100,Index Points,10888.0,9.0,0.08,-0.18,2.22,9.64,18.81,Aug/05,https://tradingeconomics.com/united-kingdom/stock-market,2026-08-06T12:18:04.597609
stock,Major,DE40,DE40,Index Points,26198.0,72.0,0.28,2.29,2.88,6.97,8.29,Aug/06,https://tradingeconomics.com/germany/stock-market,2026-08-06T12:18:04.597679
stock,Major,FR40,FR40,Index Points,8700.0,30.0,0.35,3.46,2.59,6.75,13.94,Aug/06,https://tradingeconomics.com/france/stock-market,2026-08-06T12:18:04.597749
stock,Major,IT40,IT40,Index Points,53569.0,122.0,0.23,2.81,2.12,19.19,29.42,Aug/06,https://tradingeconomics.com/italy/stock-market,2026-08-06T12:18:04.597829
stock,Major,ES35,ES35,Index Points,20105.0,48.0,0.24,3.56,2.14,16.16,38.3,Aug/06,https://tradingeconomics.com/spain/stock-market,2026-08-06T12:18:04.597897
stock,Major,ASX200,ASX200,Index Points,9272.0,44.0,0.47,3.39,5.31,6.4,4.98,Aug/06,https://tradingeconomics.com/australia/stock-market,2026-08-06T12:18:04.597957
stock,Major,SHANGHAI,SHANGHAI,Index Points,3894.0,16.0,0.41,2.36,-2.4,-1.88,7.0,Aug/06,https://tradingeconomics.com/china/stock-market,2026-08-06T12:18:04.598027
stock,Major,SENSEX,SENSEX,Index Points,78850.0,269.0,0.34,1.18,0.86,-7.48,-2.2,Aug/06,https://tradingeconomics.com/india/stock-market,2026-08-06T12:18:04.598108
stock,Major,TSX,TSX,Index Points,36146.0,345.0,0.96,2.3,2.65,13.98,29.46,Aug/05,https://tradingeconomics.com/canada/stock-market,2026-08-06T12:18:04.598171
stock,Major,MOEX,MOEX,Index Points,2302.0,32.0,1.43,2.88,4.9,-16.81,-16.75,Aug/05,https://tradingeconomics.com/russia/stock-market,2026-08-06T12:18:04.598235
stock,Major,IBOVESPA,IBOVESPA,Index Points,177726.0,169.0,-0.09,2.21,3.06,10.3,32.1,Aug/05,https://tradingeconomics.com/brazil/stock-market,2026-08-06T12:18:04.598295
stock,Major,IPC,IPC,Index Points,66525.0,308.0,-0.46,0.07,-1.4,3.51,16.4,Aug/05,https://tradingeconomics.com/mexico/stock-market,2026-08-06T12:18:04.598355
stock,Major,NL25,NL25,Index Points,1110.0,2.0,-0.14,1.53,2.53,16.66,25.55,Aug/06,https://tradingeconomics.com/netherlands/stock-market,2026-08-06T12:18:04.598416
stock,Major,CH20,CH20,Index Points,14552.0,88.0,0.61,0.45,1.74,9.68,23.79,Aug/05,https://tradingeconomics.com/switzerland/stock-market,2026-08-06T12:18:04.598481
stock,Major,SAALL,SAALL,Index Points,115416.0,1159.0,1.01,4.51,3.82,-0.36,15.24,Aug/05,https://tradingeconomics.com/south-africa/stock-market,2026-08-06T12:18:04.598540
stock,Major,STI,STI,Index Points,5626.0,45.0,0.81,-0.83,5.32,21.1,32.13,Aug/06,https://tradingeconomics.com/singapore/stock-market,2026-08-06T12:18:04.598605
stock,Major,HK50,HK50,Index Points,25461.0,455.0,-1.75,-1.54,8.36,-0.66,1.51,Aug/06,https://tradingeconomics.com/hong-kong/stock-market,2026-08-06T12:18:04.598673
stock,Major,NZX 50,NZX 50,Index Points,13935.0,63.0,-0.45,1.25,1.25,2.85,8.13,Aug/06,https://tradingeconomics.com/new-zealand/stock-market,2026-08-06T12:18:04.598733
stock,Major,EU50,EU50,Index Points,6498.0,18.0,0.27,2.42,2.82,12.2,21.86,Aug/06,https://tradingeconomics.com/euro-area/stock-market,2026-08-06T12:18:04.598798
stock,Europe,GB100,GB100,Index Points,10888.0,9.0,0.08,-0.18,2.22,9.64,18.81,Aug/05,https://tradingeconomics.com/united-kingdom/stock-market,2026-08-06T12:18:04.599445
stock,Europe,DE40,DE40,Index Points,26198.0,72.0,0.28,2.29,2.88,6.97,8.29,Aug/06,https://tradingeconomics.com/germany/stock-market,2026-08-06T12:18:04.599508
stock,Europe,FR40,FR40,Index Points,8700.0,30.0,0.35,3.46,2.59,6.75,13.94,Aug/06,https://tradingeconomics.com/france/stock-market,2026-08-06T12:18:04.599567
stock,Europe,IT40,IT40,Index Points,53569.0,122.0,0.23,2.81,2.12,19.19,29.42,Aug/06,https://tradingeconomics.com/italy/stock-market,2026-08-06T12:18:04.599639
stock,Europe,ES35,ES35,Index Points,20105.0,48.0,0.24,3.56,2.14,16.16,38.3,Aug/06,https://tradingeconomics.com/spain/stock-market,2026-08-06T12:18:04.599701
stock,Europe,MOEX,MOEX,Index Points,2302.0,32.0,1.43,2.88,4.9,-16.81,-16.75,Aug/05,https://tradingeconomics.com/russia/stock-market,2026-08-06T12:18:04.599759
stock,Europe,NL25,NL25,Index Points,1110.0,2.0,-0.14,1.53,2.53,16.66,25.55,Aug/06,https://tradingeconomics.com/netherlands/stock-market,2026-08-06T12:18:04.599817
stock,Europe,BIST 100,BIST 100,Index Points,13703.0,15.0,0.11,1.49,-5.0,21.68,25.71,Aug/05,https://tradingeconomics.com/turkey/stock-market,2026-08-06T12:18:04.599875
stock,Europe,CH20,CH20,Index Points,14552.0,88.0,0.61,0.45,1.74,9.68,23.79,Aug/05,https://tradingeconomics.com/switzerland/stock-market,2026-08-06T12:18:04.599933
stock,Europe,Stockholm 30,Stockholm 30,Index Points,3327.0,1.0,0.02,3.35,2.82,15.4,29.63,Aug/05,https://tradingeconomics.com/sweden/stock-market,2026-08-06T12:18:04.599990
stock,Europe,WIG,WIG,Index Points,151086.0,399.0,-0.26,4.31,8.17,28.87,39.56,Aug/05,https://tradingeconomics.com/poland/stock-market,2026-08-06T12:18:04.600047
stock,Europe,BE20,BE20,Index Points,5776.0,69.0,1.21,0.84,0.76,13.74,24.02,Aug/05,https://tradingeconomics.com/belgium/stock-market,2026-08-06T12:18:04.600104
stock,Europe,Oslo,Oslo,Index Points,2374.0,8.0,-0.35,-0.05,4.97,22.27,26.26,Aug/05,https://tradingeconomics.com/norway/stock-market,2026-08-06T12:18:04.600162
stock,Europe,ATX,ATX,Index Points,6704.0,47.0,0.7,6.4,2.11,25.86,47.08,Aug/05,https://tradingeconomics.com/austria/stock-market,2026-08-06T12:18:04.600220
stock,Europe,Copenhagen,Copenhagen,Index Points,1567.0,29.0,-1.81,-5.0,-4.83,-2.57,9.1,Aug/05,https://tradingeconomics.com/denmark/stock-market,2026-08-06T12:18:04.600283
stock,Europe,Helsinki,Helsinki,Index Points,13180.0,113.0,-0.85,1.38,-2.48,6.81,23.44,Aug/05,https://tradingeconomics.com/hex:ind,2026-08-06T12:18:04.600341
stock,Europe,Helsinki 25,Helsinki 25,Index Points,6221.0,38.0,-0.61,0.83,0.32,9.08,28.39,Aug/05,https://tradingeconomics.com/finland/stock-market,2026-08-06T12:18:04.600399
stock,Europe,ISEQ,ISEQ,Index Points,14016.0,217.0,1.57,3.36,0.39,7.0,23.4,Aug/05,https://tradingeconomics.com/ireland/stock-market,2026-08-06T12:18:04.600456
stock,Europe,Athens General,Athens General,Index Points,2624.0,5.0,-0.18,3.3,2.48,23.73,28.66,Aug/05,https://tradingeconomics.com/greece/stock-market,2026-08-06T12:18:04.600514
stock,Europe,PSI Geral,PSI Geral,Index Points,6171.0,5.0,-0.09,1.23,-0.26,14.96,21.9,Aug/05,https://tradingeconomics.com/bvlx:ind,2026-08-06T12:18:04.600571
stock,Europe,PSI,PSI,Index Points,9176.0,7.0,0.08,1.4,-0.45,11.04,18.53,Aug/05,https://tradingeconomics.com/portugal/stock-market,2026-08-06T12:18:04.600630
stock,Europe,PX,PX,Index Points,2754.0,15.0,-0.53,2.64,5.4,2.56,21.43,Aug/05,https://tradingeconomics.com/czech-republic/stock-market,2026-08-06T12:18:04.600688
stock,Europe,BET,BET,Index Points,36070.0,207.0,-0.57,-0.45,5.85,47.59,76.03,Aug/05,https://tradingeconomics.com/romania/stock-market,2026-08-06T12:18:04.600746
stock,Europe,BUX,BUX,Index Points,148086.0,999.0,-0.67,2.07,3.13,33.37,46.47,Aug/05,https://tradingeconomics.com/hungary/stock-market,2026-08-06T12:18:04.600803
stock,Europe,SAX,SAX,Index Points,324.0,11.0,-3.14,-3.14,-8.52,10.32,16.27,Aug/05,https://tradingeconomics.com/slovakia/stock-market,2026-08-06T12:18:04.600879
stock,Europe,LuxX,LuxX,Index Points,2016.0,5.0,-0.26,-0.92,-4.3,12.31,29.21,Aug/05,https://tradingeconomics.com/luxembourg/stock-market,2026-08-06T12:18:04.600937
stock,Europe,CROBEX,CROBEX,Index Points,4437.0,1.0,0.01,-0.67,-1.4,15.02,18.8,Aug/04,https://tradingeconomics.com/croatia/stock-market,2026-08-06T12:18:04.600997
stock,Europe,SOFIX,SOFIX,Index Points,1311.0,1.0,-0.08,1.03,4.5,13.38,26.0,Aug/05,https://tradingeconomics.com/bulgaria/stock-market,2026-08-06T12:18:04.601057
